Building for debugging...
[0/3] Write swift-version--58304C5D6DBC2206.txt
Build of product 'App' complete! (0.18s)
[ INFO ] GET /images/icon-medienkompetenz.png [request-id: 098CBC4C-8EBD-419E-B3F0-018258DF40FE]
[ INFO ] GET /css/style.css [request-id: 9F86CEA8-C6B2-4976-AA70-0738AAC1D382]
[ INFO ] GET /images/icon-phonologie.png [request-id: 48346F5C-70F9-44B3-BC0C-44E267A7AA7A]
[ INFO ] GET /images/icon-grammatik.png [request-id: F9C20C29-0824-4EDD-B230-9F171E252DA1]
[ INFO ] GET /images/icon-kommunikation.png [request-id: B337911B-435C-4A07-9AB6-CC1DDB2555DC]
[ INFO ] GET /images/icon-hoerverstehen.png [request-id: 25201EC1-226D-401A-A891-2EA342F12D39]
[ INFO ] GET /images/icon-sprechen.png [request-id: 203AD370-12BF-4B16-999B-3275C9305415]
[ INFO ] GET /images/icon-leseverstehen.png [request-id: F2F2CADC-E203-4227-AD54-0B1C16A21E04]
[ INFO ] GET /images/icon-texterschliessung.png [request-id: D780682B-C57E-42BC-930B-94CBF7619705]
[ INFO ] GET /images/icon-methoden.png [request-id: DF124963-5459-44B3-9CC9-431AAFCFD9CE]
[ INFO ] GET /images/icon-textproduktion.png [request-id: 727CDF11-CDFB-4FB9-828E-76E742DE5FCA]
[ INFO ] GET /images/icon-sprache.png [request-id: AF267330-2C0F-46BD-BE53-A08F92A81DC2]
[ INFO ] GET /images/icon-interaktion.png [request-id: 4A461997-21A7-4750-9AC5-06EABC500630]
[ INFO ] GET /images/icon-schreiben.png [request-id: B02F3B86-98C0-45B7-9BC1-BBE02A5D6A32]
[ INFO ] GET /images/icon-mediation.png [request-id: 04C22076-AD08-4EB6-8568-EF12AD8AFAF1]
[ INFO ] GET /api/materials/submissions/93D33D62-1E7D-4025-8084-6805D4674AE3 [request-id: F39FAB5E-BE41-43F6-B5AC-FFE8CCD7CE89]
[ INFO ] GET /apple-touch-icon.png [request-id: AE5F972B-6B35-497F-A5AB-5D5A7AF2945A]
[ INFO ] GET /favicon.ico [request-id: A5996620-6E6F-4C3E-A3A3-7F9A755D2EFB]
[ INFO ] GET /apple-touch-icon-precomposed.png [request-id: C6F4BA69-0835-4B7C-BDD1-BFA493FD1A00]
[ INFO ] GET /api/chat/unread [request-id: C130BBF3-6D8E-49DC-899A-FEBCA08DD93A]
[ INFO ] GET /api/chat/unread [request-id: 90F1B23E-3B82-46CC-AC86-B23663276CC8]
[ INFO ] GET /api/chat/unread [request-id: 34E83C85-C85C-409F-B6B4-352B3B8B23A0]
[ INFO ] GET /api/chat/unread [request-id: 5D3DE567-806B-4141-81C8-E5569133DFF0]
[ INFO ] GET /api/chat/unread [request-id: AAA28CCA-5491-426B-8AFE-718FA8891B73]
[ INFO ] GET /api/chat/unread [request-id: 4BE10E9E-E9B3-4E50-AFE1-0F7FAEAFFD5F]
[ INFO ] GET /api/pdf/list [request-id: D4E107E5-1F74-4B0B-9A79-D3BF05A12C9D]
[ INFO ] GET /api/chat/unread [request-id: C6398A00-3F2E-4913-A743-3F41E65A7727]
[ INFO ] GET /api/chat/unread [request-id: 8C7268CA-72C8-46F6-AB89-4B78FB7963E2]
